0.029,-100,79.771,0.457,-96.81,304.77,1.747
0.045,-95,85.468,0.49,-91.74,307.75,1.728
0.068,-90,91.157,0.521,-86.66,310.76,1.711
0.101,-85,96.851,0.552,-81.6,313.77,1.696
0.145,-80,102.56,0.582,-76.53,316.81,1.683
0.205,-75,108.28,0.611,-71.47,319.85,1.671
0.283,-70,114.04,0.64,-66.42,322.89,1.66
0.384,-65,119.82,0.668,-61.37,325.93,1.651
0.512,-60,125.65,0.695,-56.32,328.97,1.642
0.672,-55,131.51,0.722,-51.28,331.99,1.635
0.87,-50,137.43,0.749,-46.23,335,1.628
1.013,-46.93,141.08,0.765,-43.15,336.83,1.624
1.112,-45,143.39,0.775,-41.2,337.98,1.622
1.403,-40,149.41,0.801,-36.17,340.94,1.617
1.751,-35,155.48,0.827,-31.14,343.86,1.613
2.161,-30,161.62,0.853,-26.11,346.74,1.609
2.643,-25,167.82,0.878,-21.1,349.58,1.605
3.202,-20,174.09,0.902,-16.08,352.37,1.602
3.847,-15,180.44,0.927,-11.08,355.1,1.599
4.586,-10,186.87,0.952,-6.08,357.76,1.597
5.427,-5,193.39,0.976,-1.09,360.34,1.594
6.379,0,200,1,3.9,362.83,1.592
7.451,5,206.71,1.024,8.87,365.21,1.59
8.65,10,213.53,1.048,13.84,367.47,1.588
9.987,15,220.47,1.072,18.79,369.59,1.586
11.471,20,227.53,1.096,23.72,371.55,1.584
13.111,25,234.74,1.12,28.65,373.31,1.582
14.918,30,242.12,1.144,33.56,374.85,1.579
16.901,35,249.68,1.168,38.44,376.13,1.576
19.071,40,257.46,1.192,43.31,377.1,1.572
21.44,45,265.5,1.217,48.15,377.69,1.568
24.018,50,273.87,1.242,52.96,377.81,1.562
26.817,55,282.67,1.268,57.72,377.27,1.555
29.851,60,292.07,1.296,62.44,375.82,1.546
33.131,65,302.44,1.326,67.06,372.89,1.533
36.659,70,314.85,1.361,71.53,366.97,1.512
